"","X","zone","year","young_sum","working_sum","old_sum","total_pop","birthing_age","birth_rate","fertility_rate","working_male","dependency_ratio","young_dependency_ratio","old_dependency_ratio","young_sex_ratio","working_sex_ratio","old_sex_ratio","total_sex_ratio","city_size","city_name","country_iso","country_name","continent_name","latitude","longitude"
"6",76062,3622,2020,34946.1907958984,54332.1077880859,1341.36772918701,90619.6663131714,50550.4603271484,27.5160092570989,49.3267828029905,28189.386505127,0.667884240136965,0.643195933649412,0.0246883064875526,96.0147274495284,110.779008028051,66.0067027621427,102.37905677942,"50-100k","Livingstone","ZMB","Zambia","Africa",-17.8479067819,25.8577016689
"19",79758,3798,2020,991308.22265625,1461774.13232422,25099.7072753906,2478182.06225586,1371932.44140625,31.7410172276232,57.3351989917393,768096.557617188,0.69532488464244,0.678154169468077,0.0171707151743629,96.5048738531537,115.367254757233,57.7230896748553,104.853149473653,"1-5M","Lusaka","ZMB","Zambia","Africa",-15.4024734255,28.2997398438
"20",80031,3811,2020,155428.667480469,218206.803955078,4350.79489135742,377986.266326904,202108.822753906,30.6955480637337,57.4071702925918,113508.765625,0.732238681268251,0.712299821377094,0.0199388598911568,97.593135590572,111.705049761034,68.065833470979,103.622971387574,"300-500k","Kitwe","ZMB","Zambia","Africa",-12.8125805885,28.2172531744
"24",81039,3859,2020,114322.810546875,159278.953979492,3831.44801330566,277433.212539673,146384.09765625,30.8952700542722,58.5539970575591,82050.2916259766,0.741807097599307,0.717752142957911,0.0240549546413959,96.8482908358889,108.837548556567,67.9040568033225,101.967643199257,"100-300k","Ndola","ZMB","Zambia","Africa",-12.9803610217,28.6317006981
"22",80262,3822,2020,42272.0777587891,58486.2692871094,1394.73087310791,102153.077919006,54089.4017333984,29.5430854922513,55.794980486803,30326.7793579102,0.746616413803664,0.722769263179965,0.0238471506236989,99.1670535599729,109.176603300092,60.2701593715191,103.072026498924,"100-300k","Kabwe","ZMB","Zambia","Africa",-14.432793367,28.4400661069
"23",80556,3836,2020,13241.3607177734,17951.1554718018,475.995574951172,31668.5117645264,16411.4589538574,28.9742664965357,55.910440503426,9326.20803833008,0.764148932600593,0.737632780161332,0.0265161524392611,100.548044715604,109.036972150827,72.9431712434036,103.957959592217,"<50k","Luanshya","ZMB","Zambia","Africa",-13.1454163019,28.4257269654
"17",79506,3786,2020,56315.1459960938,74668.345703125,1852.07493591309,132835.566635132,68328.4979248047,31.7429685561981,61.7106382096106,38591.4966430664,0.779007762717481,0.754203745453234,0.0248040172642471,99.579186521524,109.342423274033,81.4018660106685,103.638645446421,"100-300k","Chingola","ZMB","Zambia","Africa",-12.5352250192,27.8632615653
"21",80178,3818,2020,26617.4715576172,35453.6923217773,1004.77962112427,63075.9435005188,32398.1488037109,29.298327551852,57.040902692213,18202.0122375488,0.7791078832648,0.750767263280713,0.0283406199840879,98.1689937255563,107.479882125148,65.1134782148778,101.775018064884,"50-100k","Mufulira","ZMB","Zambia","Africa",-12.557878843,28.2430696123
"18",79632,3792,2020,12282.781829834,16194.2332839966,438.359746932983,28915.3748607635,14951.1504821777,32.2763516257537,62.4221398553234,8591.20098114014,0.785535279977609,0.75846640062744,0.0270688793501683,99.214286321898,116.17432973096,66.181375281186,106.140576042807,"<50k","Kafue","ZMB","Zambia","Africa",-15.7598781478,28.1736499073
"16",79485,3785,2020,12700.9525146484,16234.447303772,373.818253517151,29309.2180719376,15043.8796081543,32.279945963205,62.8893610045323,8530.34859466553,0.80537209080889,0.782345852433021,0.0230262383758698,100.155786143421,113.059236805424,91.8331015930255,105.541117553838,"<50k","Chililabombwe","ZMB","Zambia","Africa",-12.3660760253,27.8380179737
"1",73479,3499,2020,15005.4689941406,20241.6362915039,1563.06523895264,36810.1705245972,17930.8325195312,31.6280426302335,64.9291460008886,9872.96527099609,0.81853729582364,0.741316995229231,0.0772203005944093,104.639930032483,92.1567098584647,60.2970017606284,97.3854928924513,"<50k","Mongu","ZMB","Zambia","Africa",-15.261182092,23.1495904783
"26",82698,3938,2020,8119.64498901367,10161.5478820801,364.872972488403,18646.0658435822,9176.14688110352,38.4377457448375,78.1060664485482,5213.23089599609,0.834963143406975,0.799055919751428,0.0359072236555474,101.550260786827,106.276732736921,97.8668730020567,103.596144057814,"<50k","Nchelenge","ZMB","Zambia","Africa",-9.32289599673,28.7368959025
"5",75222,3582,2020,2271.97701263428,2883.78518295288,197.419096946716,5353.18129253387,2520.24505615234,33.1357212541484,70.3826489806243,1371.69701766968,0.856303764988636,0.787845442186461,0.0684583228021746,103.105102195105,87.067692534919,86.4694075717994,95.4358592809806,"<50k","Kaoma","ZMB","Zambia","Africa",-14.7984666431,24.7987181513
"36",89649,4269,2020,26617.1076660156,32086.645690918,1526.32832336426,60230.0816802979,28765.1865234375,34.9878780688353,73.2594851136888,15995.356628418,0.877107450260711,0.82953849157095,0.0475689586897605,99.3722514909317,99.5302454155761,75.9244495760735,99.0371957814223,"50-100k","Kasama","ZMB","Zambia","Africa",-10.2198930625,31.1928220963
"10",77196,3676,2020,14207.4846801758,16998.0377960205,779.328742980957,31984.8512191772,15378.1809692383,37.1247659277572,77.2152517336977,8580.29568481445,0.881679026897174,0.835830867695915,0.0458481592012585,100.812976596857,103.120238790808,83.8942428599032,101.502352169021,"<50k","Solwezi","ZMB","Zambia","Africa",-12.1819937374,26.3951643128
"37",89670,4270,2020,2352.0286026001,2783.99439430237,110.64208650589,5246.66508340836,2537.94703674316,37.7795511559007,78.1011774662038,1418.00897598267,0.884581770044512,0.844839561248285,0.0397422087962269,101.460236173886,106.866682825764,106.236513864921,103.812063525744,"<50k","Mpulungu","ZMB","Zambia","Africa",-8.77074189544,31.1134243675
"46",92106,4386,2020,34412.0260009766,41667.7192077637,2513.2964630127,78593.0416717529,37234.5860595703,36.1274829681844,76.2562196843401,21100.257598877,0.88618535321965,0.825867761789198,0.0603175914304522,103.621872409001,100.946213436481,55.4691877815964,101.164514411691,"50-100k","Chipata","ZMB","Zambia","Africa",-13.6404594097,32.6459379801
"29",85260,4060,2020,1637.13004302979,1952.97303390503,103.88777589798,3693.99085283279,1708.8698425293,37.70645093619,81.508422341233,968.566246032715,0.891470485614718,0.83827580545559,0.0531946801591279,102.138291552303,97.1912231091407,83.7830130803446,99.651347850027,"<50k","Samfya","ZMB","Zambia","Africa",-11.3675329299,29.5541485446
"15",78939,3759,2020,8489.81716918945,9936.41313934326,405.313167572021,18831.5434761047,9148.12113952637,36.6315314760689,75.4065525660065,5249.75157165527,0.895205363547252,0.854414671585463,0.0407906919617888,105.041166121545,111.767277172304,64.6858734348833,107.147412739091,"<50k","Mazabuka","ZMB","Zambia","Africa",-15.8564779762,27.7507725919
"3",73773,3513,2020,1167.73293685913,1401.18706893921,100.829218864441,2669.74922466278,1233.97410202026,36.637100470478,79.265740192451,669.076066970825,0.905348175018456,0.833388319621863,0.0719598553965926,101.757851973181,87.77494101219,88.3313547504587,95.2394703932788,"<50k","Lukulu","ZMB","Zambia","Africa",-14.388066969,23.246294364
"25",81060,3860,2020,10910.4878234863,12769.8300476074,657.746841430664,24338.0647125244,11308.3186035156,35.86916728234,77.1985778885423,6480.53950500488,0.905903572857999,0.85439569538598,0.0515078774720186,102.621661138421,102.115361339427,89.8814124891766,102.190549747463,"<50k","Kapiri Mposhi","ZMB","Zambia","Africa",-13.9594030956,28.678630144
"27",83013,3953,2020,31409.1436767578,36326.5923156738,1547.81846618652,69283.5544586182,32407.4040527344,37.3166450505155,79.7789852393983,18055.4069824219,0.907240675275903,0.864632261782664,0.0426084134932383,101.513037923354,98.4797880035108,69.1544222848054,99.7631488117312,"50-100k","Mansa","ZMB","Zambia","Africa",-11.1966326232,28.8925773055
"47",92526,4406,2020,3882.13539123535,4555.86685180664,254.090579986572,8692.09282302856,3981.15351867676,36.7758185794401,80.2930173970279,2227.90744781494,0.907890003322132,0.852117833447191,0.0557721698749409,103.493733113987,94.0015841125366,88.0050958605243,99.1269948010457,"<50k","Isoka","ZMB","Zambia","Africa",-10.1559905756,32.6352429788
"28",84357,4017,2020,1563.26444244385,1786.17394828796,70.4445466995239,3419.88293743134,1616.97817230225,38.4448154802644,81.3101690213024,929.191219329834,0.91464159507492,0.87520280090426,0.0394387941706599,100.216321673477,110.302040448002,78.5092693586457,104.02131262222,"<50k","Mkushi","ZMB","Zambia","Africa",-13.614635174,29.3973856232
"32",88137,4197,2020,258.616134643555,308.096835136414,23.4364738464355,590.149443626404,267.918440818787,35.2932969343711,77.741268894769,150.770459651947,0.915467399608659,0.839398867985935,0.0760685316227243,102.950055739216,92.3135317707087,56.4864568821431,96.8446105349078,"<50k","Eliya","ZMB","Zambia","Africa",-14.561381969,30.8228032334
"38",89922,4282,2020,9033.86325073242,10402.7994232178,506.048400878906,19942.7110748291,9271.54321289062,36.9937213484837,79.5719848891837,5228.22465515137,0.917052349420428,0.868406943478113,0.0486454059423147,102.091456489163,100.423171403075,77.6698448943659,100.976826278007,"<50k","N/A","ZMB","Zambia","Africa",-11.8353582504,31.4524837539
"39",89964,4284,2020,376.017104148865,436.940712928772,28.1500489711761,841.107866048813,381.116445541382,36.5848394345127,80.7411923219153,216.233523368835,0.924993119572097,0.860567791059016,0.0644253285130814,99.4367208879581,97.7002367858094,82.6685533710725,98.3327976208273,"<50k","N/A","ZMB","Zambia","Africa",-10.1713342658,31.3629180822
